studytime;failures;schoolsup;famsup;paid;activities;higher;internet;absences;G1;G2;G3
1;0;0;0;0;0;0;1;0;9;10;9
1;1;0;1;0;0;1;1;4;8;9;10
2;2;0;1;0;0;1;0;2;6;8;8
1;0;0;1;0;0;0;0;0;6;8;7
1;1;0;0;0;0;0;1;0;8;6;0
1;0;0;1;0;0;1;1;0;10;11;11
3;0;0;1;1;0;0;0;5;8;7;8
2;0;1;1;0;1;1;1;0;8;8;0
2;1;0;1;0;1;1;1;3;7;6;8
1;0;0;1;0;0;1;0;0;8;10;9
1;0;0;0;0;0;1;1;0;7;10;10
2;2;0;0;0;1;1;0;3;7;8;7
2;0;0;0;0;1;1;1;2;12;13;14
1;0;0;1;0;0;1;1;0;11;12;13
2;0;0;0;0;0;1;1;0;12;13;14
2;0;0;0;0;1;1;1;0;18;18;18
1;0;0;1;0;1;1;1;3;17;17;17
2;0;0;1;0;0;1;1;0;17;18;18
2;1;0;0;0;1;1;0;0;9;0;0
1;0;0;1;0;0;1;0;8;10;11;11
1;0;0;1;1;1;1;1;5;12;13;14
1;0;0;0;0;0;0;0;4;12;13;14
2;0;0;1;0;0;1;1;4;8;8;10
3;0;0;0;0;0;1;1;0;11;12;13
2;0;0;0;0;1;1;1;0;5;0;0
2;1;0;0;0;0;0;0;2;9;10;10
1;1;0;0;0;0;0;0;0;5;0;0
4;0;0;0;0;0;1;1;0;18;18;18
2;0;0;0;0;1;1;1;5;11;11;12
2;0;0;0;0;0;1;0;2;8;10;11
2;0;0;1;0;0;0;0;0;11;11;12
2;3;0;1;0;1;0;0;0;8;0;0
3;0;0;0;0;0;1;1;5;14;14;15
2;1;0;1;1;1;1;1;4;10;11;11
2;0;0;1;0;0;1;0;0;10;10;10
2;0;0;1;1;1;1;1;2;12;12;12
2;0;0;0;0;0;1;0;0;15;14;15
1;0;0;0;0;0;1;1;2;14;13;14
3;0;0;0;0;0;1;1;0;19;17;18
2;0;0;0;0;0;1;0;0;16;15;15
2;0;0;1;0;0;1;1;6;13;12;13
2;0;0;1;0;1;1;1;4;15;14;15
2;0;0;0;0;0;1;0;0;13;13;13
2;0;0;1;1;0;1;0;0;8;10;9
3;0;0;0;0;0;1;1;0;15;16;16
1;1;0;1;0;0;1;1;0;8;8;9
1;0;0;1;0;0;1;1;0;10;10;10
2;0;0;1;0;0;1;1;0;7;5;0
1;0;0;1;0;1;0;1;3;9;10;10
3;0;0;0;0;1;1;0;8;10;11;12
1;0;0;0;0;1;1;1;4;7;8;9
3;0;0;0;0;0;1;1;0;15;17;17
3;0;0;0;0;0;1;1;4;10;11;12
2;1;0;1;0;0;1;1;4;7;8;9
2;0;0;0;0;1;1;1;1;13;14;14
2;0;0;0;0;0;1;1;1;16;16;16
2;0;0;1;0;1;1;1;10;8;9;9
2;0;0;0;0;1;1;1;4;17;18;19
1;0;0;0;0;1;1;1;0;7;7;0
2;0;0;0;0;1;1;1;4;14;15;16
1;1;0;0;0;0;1;0;0;5;8;0
1;1;0;0;1;0;1;0;0;7;7;0
3;0;0;0;0;0;1;0;0;14;17;15
2;0;0;0;0;0;1;1;0;6;9;11
1;0;0;1;0;1;1;1;4;7;9;10
3;1;0;0;0;1;1;1;4;10;11;10
2;0;0;1;0;0;1;1;4;15;15;16
2;0;0;0;0;1;1;0;6;11;12;9
1;0;0;0;0;0;1;1;6;10;10;10
1;0;0;0;0;0;1;1;4;10;11;11
